numProcess, segLength, eps, mean, sd
2, 5, 10, 57.37, 3.97351
2, 5, 15, 62.252, 0.1523
2, 5, 20, 60.98, 1.60043
2, 5, 25, 63.304, 0.279408
2, 5, 30, 62.68, 0.398728
2, 5, 35, 62.16, 0.168191
2, 5, 40, 62.398, 0.834119
2, 5, 45, 61.422, 0.903067
2, 5, 50, 63.536, 0.560833
2, 8, 10, 24.588, 0.714593
2, 8, 15, 26.682, 0.198058
2, 8, 20, 26.084, 0.525034
2, 8, 25, 26.018, 0.409012
2, 8, 30, 25.994, 0.749003
2, 8, 35, 26.542, 0.342875
2, 8, 40, 25.898, 0.677557
2, 8, 45, 27.06, 0.198212
2, 8, 50, 25.554, 0.769294
2, 11, 10, 15.57, 0.327658
2, 11, 15, 16.628, 0.163178
2, 11, 20, 15.892, 0.429189
2, 11, 25, 15.792, 0.517366
2, 11, 30, 15.87, 0.484066
2, 11, 35, 16.068, 0.258479
2, 11, 40, 15.504, 0.445157
2, 11, 45, 16.336, 0.18527
2, 11, 50, 15.752, 0.320779
2, 14, 10, 16.232, 0.185157
2, 14, 15, 16.604, 0.276501
2, 14, 20, 16.6, 0.185213
2, 14, 25, 15.986, 0.480263
2, 14, 30, 16.19, 0.284155
2, 14, 35, 16.488, 0.216987
2, 14, 40, 16.318, 0.249438
2, 14, 45, 16.032, 0.183115
2, 14, 50, 16.306, 0.399105
2, 17, 10, 14.666, 0.316336
2, 17, 15, 14.99, 0.254826
2, 17, 20, 14.776, 0.303138
2, 17, 25, 15.084, 0.183316
2, 17, 30, 14.606, 0.327678
2, 17, 35, 15.164, 0.170566
2, 17, 40, 15.126, 0.166171
2, 17, 45, 15.384, 0.198688
2, 17, 50, 14.84, 0.217421
2, 20, 10, 18.16, 0.300467
2, 20, 15, 17.604, 0.196766
2, 20, 20, 17.658, 0.187647
2, 20, 25, 17.73, 0.186376
2, 20, 30, 18.208, 0.191925
2, 20, 35, 17.838, 0.127981
2, 20, 40, 17.884, 0.16552
2, 20, 45, 17.884, 0.235722
2, 20, 50, 18.046, 0.128269
2, 23, 10, 22.974, 0.476299
2, 23, 15, 23.076, 0.274293
2, 23, 20, 23.006, 0.131259
2, 23, 25, 23.444, 0.309666
2, 23, 30, 23.004, 0.200392
2, 23, 35, 23.204, 0.400246
2, 23, 40, 23.558, 0.244252
2, 23, 45, 23.062, 0.334226
2, 23, 50, 22.752, 0.195374
2, 26, 10, 28.674, 0.204051
2, 26, 15, 28.296, 0.205885
2, 26, 20, 28.86, 0.189145
2, 26, 25, 28.22, 0.207519
2, 26, 30, 29.104, 0.301418
2, 26, 35, 28.912, 0.190376
2, 26, 40, 28.55, 0.183652
2, 26, 45, 28.73, 0.267925
2, 26, 50, 28.352, 0.282438
2, 29, 10, 42.526, 0.332801
2, 29, 15, 42.842, 0.328833
2, 29, 20, 43.124, 0.282129
2, 29, 25, 43.258, 0.349003
2, 29, 30, 42.854, 0.253592
2, 29, 35, 43.146, 0.201665
2, 29, 40, 42.906, 0.423816
2, 29, 45, 42.738, 0.394516
2, 29, 50, 42.93, 0.344267
